VALID_NAME,LANGUAGE,COMMON_NAME_1,COMMON_NAME_2,COMMON_NAME_3
Acentrogobius limarius,English,Batanta mud goby,,
Acentrogobius madraspatensis,English,Manyband goby,,
Acentrogobius moloanus,English,Barcheek Amoya,Goby,
Acentrogobius nebulosus,English,Hair-finned goby,Hairfin goby,Shadow goby
Acentrogobius pflaumii,English,Striped sandgoby,,
Acentrogobius signatus,English,Tusk goby,,
Acentrogobius simplex,English,Bagamoyo goby,,
Acentrogobius suluensis,English,Sulu goby,,
Acentrogobius vanderloosi,English,Mudslope goby,,
Acentrogobius violarisi,English,Alotau goby,,
Acentrogobius viridipunctatus,English,Green-spotted goby,Spotted green goby,
Acentronura breviperula,English,Shortpouch pygmy pipehorse,,
Acentronura gracilissima,English,Bastard seahorse,Graceful pipehorse,
Acentronura tentaculata,English,Dwarf pipehorse,Northern little pipehorse,Short-pouch pygmy pipehorse
Aceroichthys dioctes,English,Warrior catfish,,
Achiroides leucorhynchos,English,Sole,,
Achiroides melanorhynchus,English,Sole,,
Achiropsetta tricholepis,English,Finless flounder,Prickly flounder,
Achirus achirus,English,Drab sole,,
Achirus declivis,English,Lost sole,Plainfin sole,
Achirus klunzingeri,English,Brown sole,,
Achirus lineatus,English,Lined sole,,
Achirus mazatlanus,English,Mazatlan sole,,
Achirus mucuri,English,American sole,,
Achirus scutum,English,Network sole,,
Achoerodus gouldii,English,Blue groper,Gould's wrasse,Western blue groper
Achoerodus viridis,English,Blue groper,Brown groper,Eastern blue groper
Acipenser brevirostrum,English,Short-nosed little sturgeon,Shortnose sturgeon,Pinkster
Acipenser gueldenstaedtii,English,Azov-Black sea sturgeon,Danube sturgeon,Kura sturgeon
Acipenser medirostris,English,Barbel sturgeon,Green Japanese sturgeon,Green sturgeon
Acipenser mikadoi,English,Sakhalin sturgeon,,
Acipenser naccarii,English,Adriatic sturgeon,,
Acipenser nudiventris,English,Barbel sturgeon,Bastard Sturgeon,Fringebarbel sturgeon
Acipenser oxyrinchus,English,American Atlantic sturgeon,Atlantic sturgeon,Common sea sturgeon
Acipenser persicus,English,Persian sturgeon,,
Acipenser schrenckii,English,Amur sturgeon,Japanese sturgeon,
Acipenser sinensis,English,Chinese sturgeon,,
Acipenser stellatus,English,Star sturgeon,Starry sturgeon,Stellate sturgeon
Acipenser sturio,English,Atlantic sturgeon,Baltic sturgeon,Common sturgeon
Acipenser transmontanus,English,Columbia sturgeon,Oregon sturgeon,Pacific sturgeon
Acreichthys radiatus,English,Flower-coral filefish,Radial leatherjacket,
Acreichthys tomentosus,English,Banded leather-jacket,Bristle-tail file-fish,Bristle-tail filefish
Acropoma arafurense,English,Arafura lanternbelly,,
Acropoma boholensis,English,Big-headed lanternbelly,,
Acropoma heemstrai,English,Heemstra's lanternbelly,,
Acropoma japonicum,English,Japanese bass,Japanese seabass,Glowbelly
Acropoma lecorneti,English,Lecornet's lanternbelly,,
Acropoma leobergi,English,Tropical lanternbelly,,
Acropoma musorstom,English,South Pacific lanternbelly,,
Acropoma neglectum,English,Red Sea lanternbelly,,
Acropoma profundum,English,Solomon's lanternbelly,,
Acropoma splendens,English,Indian lanternbelly,,
Acyrtops amplicirrus,English,Flarenostril clingfish,,
Acyrtops beryllinus,English,Emerald clingfish,,
Acyrtus artius,English,Papillate clingfish,,
Acyrtus lanthanum,English,Orange-spotted clingfish,,
Acyrtus rubiginosus,English,Red clingfish,,
